% This Database was generated from ergane (http://www.travlang.com).   Copyright (C) 1999 Horst Eyermann (Horst@freedict.de)    This program is free software /  you can redistribute it and/or modify   it under the terms of the GNU General Public License as published by   the Free Software Foundation /  either version 2 of the License, or   (at your option) any later version.    This program is distributed in the hope that it will be useful,   but WITHOUT ANY WARRANTY /  without even the implied warranty of   MERCHANTABILITY or FITNESS FOR A PARTICULAR PURPOSE. See the   GNU General Public License for more details. 


ADN ; DNA
aborder ; land ; hitch on /  hook on ; accost /  address ; approach /  deal with /  tackle ; land ; begin /  come on /  set in /  start ; bring up ; collide with /  crash into / begin /  commence /  start

abords ; environment /  environs /  surroundings

aborigène ; aboriginal ; aboriginal /  domestic ; aboriginal /  native

abortif ; abortive /  futile /  useless /  vain

aboucher ; connect /  connect up /  plug in

abouler ; give

abouter ; succeed

aboutir ; accomplish /  achieve /  attain /  get /  reach ; exit /  go out ; conduct /  guide /  lead ; abut /  adjoin /  be next to ; result

aboutissement ; consequence /  consistency ; result ; consequence ; achievement /  success

aboyer ; bark /  bay ; bark

aboyer à ; cry down /  cut up /  demolish /  pull to pieces /  run down /  write down

abracadabrant ; foolish ; inconceivable /  unintelligible

abrasif ; abrasive

abreuver ; irrigate /  water ; dampen ; flood /  overwhelm

abreuvoir ; bar /  pub

abri ; penthouse /  shed ; asylum ; bunker /  shelter ; penthouse /  shed ; place of refuge /  shelter ; shelter

abricot ; apricot

abricotier ; apricot‐tree

abriter ; accomodate ; accomodate /  entertain /  put up ; protect ; shelter /  protect

abrogation ; abolition /  abrogation ; abrogation ; abolition ; abolition /  abrogation

abroger ; abolish /  abrogate ; abjure /  abolish /  abrogate /  annul /  cancel /  remit

abrupt ; abrupt ; abrupt /  steep

abruptement ; abruptly

abrégement ; abbreviation

abréger ; abbreviate /  abridge /  shorten ; abate /  abridge /  decrease /  lessen ; abbreviate /  abridge /  curtail /  shorten ; abstract /  summarize

abrégé ; abridgement /  abstract /  resumé /  summery

abrévation ; abbreviation

abscisse ; abscissa

absence ; absence

absent ; absent

absinthe ; absinth

absolu ; absolute

absolument ; absolutely ; absolutely /  definitely /  without fail

absolutisme ; absolutism

absorbant ; absorbent

absorber ; absorb /  sip

absorption ; absorption

abstension totale d'alcool ; teetotalism /  total abstinence

abstention ; abstention /  abstinence

abstraction ; abstraction

abstraire ; abstract

abstrait ; abstract

absurde ; absurd

absurdité ; absurdity /  nonsense /  rubbish ; absurdity

abus ; abuse

abuser ; abuse

abusif ; erroneous /  mistaken /  wrong

abusivement ; by mistake

abyssin ; Abyssinian

abécédaire ; ABC book

abêtir ; dull

abîme ; abyss /  chasm /  gulf /  precipice ; abyss /  gulf /  precipice ; ravine

abîmer ; destroy /  quash ; damage /  injure /  spoil ; spoil ; destroy /  ruin

acabit ; kind /  sort

acacia ; acacia

académicien ; academician

académie ; academy

académique ; academic

acanthe ; acanthus

acarien ; mite

accaparer ; corner /  monopolize

accent ; accent /  stress ; stress‐mark ; accent ; accent mark /  supersign

accentuer ; accent /  accentuate /  stress ; accent /  accentuate /  emphasize

accent circonflexe ; circumflex

acceptable ; acceptable

accepter ; accept /  receive /  take /  take in

accepteur ; acceptor

accepté ; accepted

accessible ; obtainable ; accessible

accessoire ; accessory /  adventitious /  secondary ; accessory /  side‐issue

accident ; accident

accidentel ; accidental /  adventitious /  chance /  random

accidentellement ; by accident /  by chance

accidenté ; bumpy

acclamation ; acclaim /  acclamation /  approval

acclamer ; acclaim /  applaud

acclimatation ; acclimatization

acclimatement ; acclimatization

accolade ; accolade

accommodant ; accommodating ; accommodating /  good‐hearted

accommodement ; accommodation /  accord /  agreement

accommoder ; arrange /  fix up

accomodation ; accommodation

accompagnateur ; accompanist /  companian

accompagnatrice ; chaperon /  duenna

accompagnement ; accompaniment ; accompaniment /  escort

accompagner ; accompany

accompli ; fine /  great ; perfect

accomplir ; accomplish /  achieve /  keep /  observe /  perform

accomplissement ; accomplishment /  acquittal

accord ; agreement ; accord /  accordance /  agreement /  concurrence ; chord ; concord

accordailles ; betrothal /  engagement

accorder ; tune

accordé ; fiancé

accordée ; bride /  fiancée

accordéon ; accordion

accordéoniste ; accordionist

accotement ; shoulder /  verge /  verge of a road

accoter ; lean /  support /  sustain

accotoir ; arm /  arm‐rest

accoucher ; give birth /  labour /  be in labour

accoucheur ; obstetrician

accoucheuse ; midwife /  obstetrician ; midwife

accouchée ; lying‐in woman

accoudoir ; arm /  arm‐rest

accouplement ; joining /  junction ; copulation

accoupler ; join /  unite ; couple ; join /  unite

accoutumer ; accustom

accoutumé ; accustomed /  customary /  used to /  usual /  wonted

accrocher ; hitch on /  hook on ; hook

accroissement ; growth ; accretion /  growth ; aggrandizement /  enlargement /  increase ; increase

accroître ; aggrandize /  augment /  enlarge /  increase ; accrue /  increase

accréditer ; accredit

accu ; accumulator /  battery /  storage battery

accueil ; acceptance /  admission

accueillir ; accept /  receive /  take /  take in ; get /  have /  receive ; greet /  salute

accumulateur ; accumulator /  battery /  storage battery

accumulation ; accumulation ; accumulation /  assembly

accumulator ; accumulator /  battery /  storage battery

accumuler ; accumulate /  heap /  pile up /  stack

accusateur ; accuser

accusatif ; accusative

accusation ; accusal /  accusation ; accusation ; accusal /  accusation /  charge /  complaint /  indictment

accuser ; accuse ; accuse /  denounce ; accuse

accusé ; accused /  defendant

accusé de réception ; acknowledgement /  receipt

accéleration ; acceleration

accélerer ; accelerate /  speed up

accélérateur ; accelerative ; accelerator /  accelerator pedal

accélération ; acceleration

accélérer ; accelerate /  pick up ; accelerate /  advance

accès ; access /  aggression /  attack ; access /  admission /  admittance

acerbe ; acerbic /  acid /  acrid /  harsh /  sour /  tart

achat ; acquisition /  purchase

acheteur ; buyer /  client /  purchaser

achever ; finish /  finish off

achevé ; perfect

achillée ; yarrow

achopper ; stumble

acide ; acetous /  acid /  sour /  tart ; acid

acidifier ; acidify

acidité ; acidity /  acidness

acier ; steel

acné ; acne

acolyte ; acolyte

acompte ; initial deposit /  instalment /  down payment /  first instalment ; installment payment

aconit ; aconite /  monkshood

acoustique ; acoustic ; acoustics

acquisition ; acquirement /  acquisition ; accession /  acquisition /  gain ; accession /  acquisition /  asset

acquit ; acknowledgement /  receipt

acquittement ; aquittal ; acquittal

acquitter ; pay off

acquéreur ; buyer /  client /  purchaser

acquérir ; achieve /  acquire /  attain /  get /  obtain

acquérir péniblement ; reclaim

acre ; acre

acrobate ; acrobat

acrobaties ; acrobatics

acrobatique ; acrobatic

acrostiche ; achrostic

acte ; act ; certificate /  diploma /  document

acteur ; actor

actif ; active ; active /  in action ; assets ; adroit /  agile /  alert /  brisk /  keen

action ; achievement /  act /  action ; share

actionnaire ; shareholder

actionner ; actuate /  drive

action au porteur ; bearer share /  share to bearer

action de compagnie maritime ; shipping share

action nominative ; registered share

activer ; activate /  put on /  start /  swotch on /  turn on

activité ; action /  activity ; activity ; activity /  vigour ; making /  manufacture

actrice ; actress

actualité ; topic ; topicality

actualités ; news

actuel ; current /  present /  present‐day /  topical /  up‐to‐date ; fashionable

actuellement ; currently /  nowadays /  these days

acuité ; acerbity /  acrimony /  acuity /  sharpness

acupuncture ; acupuncture

acéré ; nasty

acétate ; acetate

acétone ; acetone

acétylène ; acetylene

adagio ; adagio

adaptation ; adaptation /  adjustment

adaptation musicale ; orchestration

adapter ; orchestrate /  score ; accomodate

adapteur ; adaptor

adapté ; adapted

addition ; addition ; addition /  adjunct ; account /  bill /  calculation

additionnel ; additional

additionner ; add /  add up

adhérent ; acolyte /  member /  supporter ; member /  supporter

adhérents ; adherents /  disciples /  following /  party /  supporters ; adherents /  disciples /  followers /  party members ; adherents /  disciples /  followers /  following /  party /  supporters

adhérer ; join ; accede /  affiliate ; accede

adhésif ; adhesive

adhésion ; adhesion

adieu ; adieu /  farewell /  bye /  goodbye ; farewell /  goodbye /  good‐bye

adjacent ; adjacent ; adjacent /  adjoining ; adjacent /  nearby /  neighbouring

adjectif ; adjectival ; adjective

adjoindre ; add

adjoint ; assistant ; aid /  assistant /  helper

adjoint au maire ; alderman

adjudant ; adjutant /  aide‐de‐camp

adjudication ; tender

adjuger ; assign

admettre ; accept /  receive /  take /  take in ; admit ; accede /  agree /  consent

administrateur ; manager ; administrator

administratif ; administrative

administration ; administration /  management

administrer ; administer /  manage

admirable ; admirable

admirateur ; admirer

admiratif ; admiring

admiration ; admiration

admiratrice ; admirer /  female admirer

admirer ; admire

admonester ; admonish /  scold

ado ; youngster /  youth

adolescence ; adolescence /  puberty

adolescent ; adolescent

adolescente ; flapper

adonis ; pheasant's eye

adopter ; choose /  elect /  pick out

adoptif ; adoptive ; adopted

adoption ; adoption

adorable ; adorable

adorateur ; adorer /  worshipper

adoration ; adoration /  worship

adoratrice ; adorer /  female adorer /  worshipper /  female worshipper

adorer ; adore /  worship ; worship

adorée ; adored one

adresse ; address ; expertness /  skilfulness /  skill /  skillfulness

adresser ; address ; send /  transmit

adresser la parole à ; accost /  address

adroit ; adroit /  clever /  dexterous /  skillful

adrénaline ; adrenaline

aduler ; flatter

adulte ; adult /  full‐grown ; adult /  grown‐up

adultère ; adulterous ; adultery ; adulteress ; adulterer

adverbe ; adverb

adverbial ; adverbial

adversaire ; adversary /  opponent

adéquate ; adequate

afecté ; inflated

affable ; affable /  friendly /  good‐natured /  kind

affaiblir ; weaken

affaire ; affair /  business /  business deal /  case /  matter

affaires ; stuff /  things

affectation ; affectation

affecter ; affect ; move /  stir ; affect /  agitate /  move

affection ; affection

affectueux ; affectionate /  devoted /  selfless ; devoted /  selfless

affecté ; affected ; affected /  artificial

affermer ; farm /  lease

affiche ; notice /  placard /  poster

afficher ; placard /  post /  post up

affiler ; sharpen

affilié ; acolyte /  member /  supporter

affinier ; clean /  cleanse /  make clean /  purge

affinité ; affinity

affirmatif ; affirmative

affirmation ; assent

affirmer ; assert /  state ; affirm /  assent /  say yes

affixe ; affix

affliction ; sadness ; affliction

affliger ; afflict /  grieve

affligé ; sad

affluent ; affluent

afflux ; flood ; congestion ; congestion /  rush

afflux de sang ; congestion /  rush

affolement ; craziness /  insanity /  lunacy /  madness

affranchi ; post‐paid /  stamped

affranchir ; prepay /  put on stamps

affreusement ; awfully

affreux ; repellent /  repelling /  repulsive ; dismal /  dreary /  horrible /  nasty ; abysmal /  dreadful /  gruesome /  horrible /  terrible

affreux jojo ; naughty boy /  pickle

affriolant ; attractive

affront ; abuse /  insult ; abuse

affronter ; confront /  face ; confront /  stand up to /  withstand

afféterie ; affectation

afghan ; Afghan

afin de ; for /  to /  in order to /  per

afin de pour ; so /  so that

afin que ; so /  so that

africain ; African

afro‐asiatique ; Afro‐Asian

agacement ; offence /  scandal

agacer ; tease ; abet /  excite /  incite /  provoke /  rouse /  stimulate /  stir up ; aggravate /  annoy

agape ; agape

agar‐agar ; agar /  agar‐agar

agate ; agate

agave ; agave

agaçant ; acerbic /  acrid /  tart ; aggravating

agence ; agency

agence de voyage ; tourist agency /  travel agency

agenda ; agenda /  appointment book

agent ; agent ; policeman

agent de police ; policeman

aggloméré ; agglomerate

agglutinant ; adhesive

agglutiner ; agglutinate ; paste /  paste up /  placard /  post /  post up

aggraver ; blow up /  heighten ; aggravate

agile ; agile

agir ; act /  take action ; act /  be effective /  have effect

agir avec abnégation ; abnegate /  deny oneself

agir avec affectation ; attitudinize /  pose /  put on airs

agir en hypocrite ; dissemble

agir selon ; act on /  act upon /  follow /  observe

agissant ; active

agitation ; agitation /  commotion

agiter ; abet /  agitate /  incite /  stir up ; brandish /  fling /  swing /  wave /  wave about

agité ; crazy /  insane /  mad /  nuts ; agitated /  anxious

agneau ; lamb

agnostique ; agnostic

agonie ; agony /  death throes

agoniser ; agonize /  be near death

agoraphobie ; agoraphobia

agrafe ; clasp /  hook

agrafer ; clasp

agrafe de vêtement ; hooks and eyes

agrander ; aggrandize /  augment /  enlarge /  increase

agrarien ; agrarian /  agricultural /  farm‐

agresser ; commit aggression

agressif ; aggressive

agression ; aggression /  aggro

agriculteur ; agrarian /  farmer

agriculture ; agriculture /  farming /  tillage ; agriculture ; agriculture /  agronomics

agripper ; clutch /  grab /  grasp /  grip /  seize

agronome ; agriculturist

agronomie ; agriculture /  agronomics

agronomique ; agricultural

agréable ; agreeable /  enjoyable /  lovely /  nice /  pleasant

agréablement ; agreeably /  comfortably /  pleasantly

agréer ; accept /  receive /  take /  take in

agrégat ; aggregate

agrément ; pleasantness ; acclaim /  approval

ah ; ah /  oh /  ow ; ah /  aha

aide ; aid /  help

aider ; abet /  aid /  assist /  help ; accomodate /  aid /  assist /  help

aigle ; eagle

aiglefin ; haddock

aiglon ; eaglet

aigre ; acetous /  acid /  sour /  tart ; nasty

aigreur ; tartness

aigrir ; acidify

aigu ; sharp ; shrill ; acute ; nasty

aiguille ; needle

aiguiller ; commute

aiguille de montre ; needle

aiguille à coudre ; needle

aiguiser ; sharpen

aile ; wing

ailleurs ; elsewhere

aimable ; affable /  friendly /  good‐natured /  kind ; dainty /  kind /  nice /  pretty

aimer ; love ; appreciate /  like

aimer mieux ; prefer

aine ; groin

ainsi ; so /  such /  thus ; like that /  that way /  thus

ainsi soit‐il ; amen

air ; air ; appearance /  aspect /  look /  sight /  view ; expression ; appearance

airain ; bronze

aire ; area

air de musique ; air /  aria

aisselle ; armpit

aisé ; in easy circumstances /  well‐to‐do

ajourner ; adjourn /  delay /  postpone

ajouter ; add

ajuster ; accomodate

alarme ; alarm

alarmer ; alarm /  raise the alarm /  sound the alarm

albanais ; Albanian

albatros ; albatross

albino ; albino

album ; album

albumen ; albumen

alcali ; alkali

alcalin ; alkaline

alchimie ; alchemy

alchimiste ; alchemist

alcool ; alcohol

alcoolique ; alcoholic

alcoolisme ; alcoholism

alcool dénaturé ; methylated spirit

alcôve ; alcove /  recess

aldéhyde ; aldehyde

alentour ; roundabout /  thereabout /  thereabouts

alentours ; surroundings

alerte ; alarm ; adroit /  agile /  alert /  brisk /  keen

alerter ; alarm /  raise the alarm /  sound the alarm ; caution /  warn

algue ; alga /  seaweed

algébrique ; algebraic

algérien ; Algerian

algèbre ; algebra

alibi ; alibi

aliment ; food /  nourishment

alimenter ; feed /  nourish

alinéa ; paragraph

aliénation ; craziness /  insanity /  lunacy /  madness

aliéniste ; psychiatrist

aliéné ; lunatic

allaiter ; suckle

allemand ; German ; German /  German language

aller ; fare ; go ; go /  ride /  travel

allergie ; allergy

allergique ; allergic

aller en pélerinage ; go on pilgrimage

aller en véhicule ; go /  ride /  travel

aller à la selle ; defecate

alliage ; alloy

alliance ; alliance

allier ; connect /  join

alligator ; alligator

allitération ; alliteration

allonger ; lengthen

allouer ; assign

allumer ; kindle /  light ; switch /  turn on

allumette ; match

allure ; appearance /  aspect /  look /  sight /  view ; speed

alléchant ; attractive

allécher ; attract /  draw

allée ; avenue

allégorie ; allegory

allégorique ; allegoric

allégresse ; gladness /  joy

allô ; hello

almanach ; almanac

alors ; then

alouette ; lark

aloès ; aloe

alpaga ; alpaca

alpestre ; alpine

alpha ; alpha

alphabet ; alphabet

alphabétique ; alphabetical

alpin ; alpine

alpinisme ; mountaineering

alpiniste ; Alpinist /  climber /  mountain climber /  mountaineer

alsacien ; Alsatian

alternative ; alternative /  option

alterner ; alternate

altier ; proud

altitude ; height ; altitude /  height

alto ; contralto /  contralto voice

altruisme ; altruism

altruiste ; altruistic ; altruist

aluminium ; aluminium /  aluminum

alun ; alum

aléa ; hazard /  risk

aléatoire ; uncertain

amabilité ; kindness

amadouer ; flatter

amande ; almond

amant ; lover

amante ; lover

amarante ; amaranthus

amas ; accumulation /  crowd /  heap /  mass /  multitude /  pile

amateur ; amateur /  fancier

amazone ; Amazon

ambassade ; embassy

ambassadeur ; ambassador

ambassadrice ; ambassador /  female ambassador

ambiance ; atmosphere /  ethos /  mood

ambigu ; ambiguous

ambitieux ; ambitious

ambition ; ambition

ambivalence ; ambivalence

ambre ; amber

ambre gris ; amber

ambre jaune ; amber

ambroisie ; ambrosia

ambulance ; ambulance /  field hospital ; ambulance

amende ; fine

amender ; improve ; fertilize

amener ; bring /  fetch

amener à ; chase /  drive /  drive on /  impel /  shoo

amer ; acerbic /  bitter ; bile /  gall

ami ; friend ; fellow‐thinker

amibe ; amoeba

amical ; friendly

amie ; friend

amiral ; admiral

amitié ; friendship

ami politique ; fellow‐thinker

ammoniaque ; ammonia

amnistie ; act of grace /  amnesty

amoindrir ; abate /  abridge /  decrease /  lessen

amok ; amuck

amorphe ; amorphous

amour ; affection /  love

amoureux ; affectionate /  loving ; lover

amour charnel ; love /  sexual love

amphibie ; amphibian

amphibologique ; ambiguous

amphitryon ; host

amphitéâtre ; amphitheatre

amphore ; amphora

amphétamine ; amphetamine

ample ; ample /  bulky /  extensive ; broad ; extensive /  spacious /  vast /  wide

ampleur ; bulk /  dimension /  extend /  size ; width

amplifier ; aggrandize /  augment /  enlarge /  increase ; blow up /  heighten

amplitude ; amplitude

ampoule ; bulb ; blister

amputation ; amputation

amputer ; amputate

ampère ; ampère

amulette ; amulet /  charm /  talisman

amusant ; amusing /  entertaining /  funny ; amusing

amusement ; entertainment ; amusement /  fun ; distraction /  diversion

amuser ; amuse

amygdale ; tonsil

améliorer ; improve

aménité ; kindness

américain ; American

américaniser ; Americanize

améthyste ; amethyst

amène ; affable /  friendly /  good‐natured /  kind

an ; year

anabaptisme ; anabaptism

anachronisme ; anachronism

anaconda ; anaconda

anagramme ; anagram

anal ; anal

analogie ; analogy

analogique ; analogous

analogue ; analogous

analphabète ; illiterate

analyse ; analysis

analyser ; analyse

analyste ; analyst /  analytical chemist

ananas ; pineapple

anapeste ; anapaest

anar ; anarchist

anarchie ; anarchy

anarchique ; anarchic /  anarchical /  anarchist

anarchisme ; anarchism

anarchiste ; anarchist

anathème ; anathema /  ban /  excommunication

anatomie ; anatomy

anatomique ; anatomical

anatomiste ; anatomist

anchois ; anchovy

ancien ; ex‐ /  former ; old

ancolie ; columbine

ancre ; anchor

ancêtre ; forefather

andalou ; Andalusian

andorran ; Andorrian

andouille ; sausage

anecdote ; anecdote

anecdotique ; anecdotal

anesthésie ; anaesthesia

anesthésiste ; anaesthesist

ange ; angel

angine ; angina /  quinsy

anglais ; English ; English /  English language

angle ; angle

anglican ; Anglican

anglicisme ; Anglicism

anglo‐saxon ; Anglo‐Saxon

angoisse ; agony /  anguish /  fear

angolais ; Angolan

anguille ; eel

anguillule ; eelworm

angulaire ; gaunt

anguleux ; angular /  sharp‐edged

angélique ; angelica ; angelic

aniline ; aniline

animal ; animal ; animal /  beast

animal domestique ; domestic animal

animer ; animate

anneau ; ring

annihilation ; destruction

anniversaire ; anniversary ; birthday

annonce ; ad /  advertisement

annoncer ; advertise /  announce /  give notice

annuaire ; address list ; almanac ; year‐book

annuel ; annual /  yearly

annuellement ; yearly

annulation ; abolition /  abrogation

annuler ; abolish /  abrogate ; abjure /  abolish /  abrogate /  annul /  cancel /  remit

année ; year ; promotion

année financière ; financial year

anode ; anode

anonymat ; anonymity

anonyme ; anonymous ; anonymous /  nameless /  without a name

anormal ; abnormal

antagoniste ; adversary /  opponent

antarctique ; Antarctic

antenne ; aerial /  antenna

anthologie ; anthology ; chrestomathy

anthracite ; anthracite

anthropologie ; anthropology

anthropologiste ; anthropologist

anthropologue ; anthropologist

antibiotique ; antibiotic

antichambre ; waiting‐room /  waiting room

anticipation ; anticipation

anticiper ; anticipate /  think ahead

anticorps ; antibody

antidote ; antidote

antigel ; antifreeze

antillais ; Antillian

antilope ; antelope

antimoine ; antimony

antipathie ; aversion /  dislike

antipathique ; nasty

antipode ; antipode

antique ; ancient /  antique

antiseptique ; antiseptic

antisocial ; antisocial /  unsocial

antisémite ; anti‐Semite

antisémitique ; anti‐Semitic

antisémitisme ; anti‐Semitism

antithèse ; antithesis

antéchrist ; Antichrist

antécédent ; antecedent

anus ; anus /  arse

anversois ; Antwerp

anxiété ; anxiety ; fright

anémie ; anaemia

anémique ; anaemic

anémone ; anemone

aorta ; aorta

août ; August

apache ; apache /  hood /  ruffian

apartheid ; apartheid

apathie ; apathy

apathique ; apathetic

apercevoir ; descry /  perceive ; notice
